ID,Anno Accademico,Anno di Corso,Giorno,Orario,Titolo Corso,Lingua,Livello Lingua,Docente,Email Docente,Modalità,Indirizzo/i,Gruppo,Note
P01,2026/2027,Primo Anno,Lunedì,09:00–11:00,Russo - Fondamenti della lingua I,Russo,,Mikshina,,Online,Tutti gli indirizzi,,dal 11/09 (no lezione il 26/10)
P02,2026/2027,Primo Anno,Lunedì,09:30–11:00,Francese - Tavoli di negoziazione e trattativa linguistica,Francese,,Oliva,,In presenza,Tutti gli indirizzi,,dal 14/09 (no lezione il 26/10)
P03,2026/2027,Primo Anno,Lunedì,12:00–15:00,Inglese - Approfondimento della lingua I + Tecniche e strategie di scrittura,Inglese,,Prezioso / Razavi,,In presenza,Tutti gli indirizzi,,dal 14/09
P04,2026/2027,Primo Anno,Lunedì,15:30–18:30,Psicologia del consumatore e dell'acquisto,,,Pierguidi,,In presenza,Marketing e comunicazione; Fashion & Luxury Management,,
P05,2026/2027,Primo Anno,Lunedì,16:00–19:15,Metodologia della ricerca documentale,,,Giorgi,,Online,Mediazione linguistica in tre lingue,,online da 28/09
P06,2026/2027,Primo Anno,Lunedì,16:30–19:20,Analisi della geopolitica internazionale,,,Damjanovski,,In presenza,Relazioni internazionali e diplomatiche,,
P07,2026/2027,Primo Anno,Martedì,da confermare,Cinese (da B1) - Tavoli di negoziazione,Cinese,da B1,Macchi,,Online,Tutti gli indirizzi,,giorno e orario da confermare
P08,2026/2027,Primo Anno,Martedì,10:00–13:00,Psicologia clinico-forense e valutativa,,,Currò,,In presenza,Criminologia investigativa e forense,,
P09,2026/2027,Primo Anno,Martedì,10:00–12:00,Tedesco – Uso critico e applicato del testo,Tedesco,,Bardeck,,Online,Tutti gli indirizzi,,
P10,2026/2027,Primo Anno,Martedì,13:30–14:30,Spagnolo – Uso critico e applicato del testo,Spagnolo,,Semeghini,,In presenza,Tutti gli indirizzi,,
P11,2026/2027,Primo Anno,Martedì,14:30–15:30,Spagnolo – Tavoli di negoziazione,Spagnolo,,Magnanego,,In presenza,Tutti gli indirizzi,,dal 15/09
P12,2026/2027,Primo Anno,Martedì,15:30–16:30,Spagnolo – Strategie di memorizzazione e note-taking,Spagnolo,,Magnanego,,In presenza,Tutti gli indirizzi,,dal 15/09
P13,2026/2027,Primo Anno,Martedì,16:30–18:00,Francese - Approfondimento della lingua I + Tecniche e strategie di scrittura,Francese,,Bariller,,In presenza,Tutti gli indirizzi,,
P14,2026/2027,Primo Anno,Mercoledì,08:30–11:10,Marketing,,,de Leonardis,,In presenza,Marketing e comunicazione; Fashion & Luxury Management; Management del turismo e dei beni culturali,,
P15,2026/2027,Primo Anno,Mercoledì,09:00–13:00,Relazioni internazionali e governance globale,,,Mancini,,In presenza,Relazioni internazionali e diplomatiche,,
P16,2026/2027,Primo Anno,Mercoledì,13:30–15:30,Spagnolo – Approfondimento della lingua I + Tecniche di scrittura,Spagnolo,,Acero,,In presenza,Tutti gli indirizzi,,
P17,2026/2027,Primo Anno,Mercoledì,15:30–18:30,Storia delle relazioni internazionali e diplomatiche,,,Milli,,In presenza,Relazioni internazionali e diplomatiche,,
P18,2026/2027,Primo Anno,Mercoledì,15:30–18:30,Comunicazione di impresa,,,Bonafoni,,In presenza,Marketing e comunicazione,,
P19,2026/2027,Primo Anno,Giovedì,09:00–11:00 (gr.2) / 11:00–13:00 (gr.1),Inglese – Uso critico e applicato del testo,Inglese,,Oliveri,,In presenza,Tutti gli indirizzi,gr.1 e gr.2 (orari invertiti),dal 17/09 a settimane alterne
P20,2026/2027,Primo Anno,Giovedì,09:30–11:00 (gr.1) / 11:00–12:30 (gr.2),Inglese – Tavoli di negoziazione,Inglese,,Borghi,,In presenza,Tutti gli indirizzi,gr.1 e gr.2 (orari invertiti),
P21,2026/2027,Primo Anno,Giovedì,09:30–11:00 (gr.2) / 11:00–12:30 (gr.1),Inglese – Strategie di memorizzazione e note-taking,Inglese,,Valente,,In presenza,Tutti gli indirizzi,gr.1 e gr.2 (orari invertiti),a settimane alterne
P22,2026/2027,Primo Anno,Giovedì,14:30–17:30,Storia delle arti e delle culture visive,,,Galli,,In presenza,Management del turismo e dei beni culturali,,
P23,2026/2027,Primo Anno,Giovedì,14:30–17:30,Elementi di diritto penale e penitenziario,,,Di Pietro,,In presenza,Criminologia investigativa e forense,,
P24,2026/2027,Primo Anno,Venerdì,09:00–12:00,Tedesco – Approfondimento della lingua I + Tecniche di scrittura,Tedesco,,Giacoma,,Online,Tutti gli indirizzi,,
P25,2026/2027,Primo Anno,Venerdì,09:00–11:00,Russo - Fondamenti della lingua I,Russo,,Mikshina,,Online,Tutti gli indirizzi,,inizia 11/09
P26,2026/2027,Primo Anno,Venerdì,09:30–12:30,Sociologia della devianza e criminogenesi,,,Baglioni,,In presenza,Criminologia investigativa e forense,,
P27,2026/2027,Primo Anno,Venerdì,12:00–13:00,Cinese (da B1) – Approfondimento della lingua I + Tecniche di scrittura,Cinese,da B1,Zhang,,Online,Tutti gli indirizzi,,
P28,2026/2027,Primo Anno,Venerdì,15:00–16:00,Cinese (da B1) – Strategie di memorizzazione e note-taking,Cinese,da B1,Leoni,,Online,Tutti gli indirizzi,,da 02/10
P29,2026/2027,Primo Anno,Venerdì,14:00–15:30,Francese – Strategie di memorizzazione e note-taking,Francese,,Bendoni,,In presenza,Tutti gli indirizzi,,
P30,2026/2027,Primo Anno,Venerdì,13:00–14:00 e 15:30–18:00,Cinese (da A0) - Fondamenti della lingua I,Cinese,da A0,Bozzano,,In presenza,Tutti gli indirizzi,,
S01,2026/2027,Secondo Anno,Lunedì,09:00–11:00,Arabo - Laboratorio applicato di traduzione intermedio,Arabo,,Boella,,Online,Tutti gli indirizzi,,
S02,2026/2027,Secondo Anno,Lunedì,10:00–11:30,Russo - Laboratorio applicato di interpretazione intermedio,Russo,,Saturni,,Online,Tutti gli indirizzi,,
S03,2026/2027,Secondo Anno,Lunedì,09:00–12:00,"Cinese - Cultura, civiltà e istituzioni",Cinese,,Picerni,,Online,Tutti gli indirizzi,,
S04,2026/2027,Secondo Anno,Lunedì,13:30–15:00,Francese - Laboratorio applicato di traduzione intermedio,Francese,,Oliva,,In presenza,Tutti gli indirizzi,,dal 14/09
S05,2026/2027,Secondo Anno,Lunedì,15:15–18:15,"Inglese - Cultura, civiltà e istituzioni",Inglese,,Andreani,,In presenza,Tutti gli indirizzi,,inizio 14/09
S06,2026/2027,Secondo Anno,Lunedì,16:00–19:15,Metodologia della ricerca documentale,,,Giorgi,,Online,Mediazione linguistica in tre lingue,,online dal 28/09
S07,2026/2027,Secondo Anno,Martedì,09:00-11:00,Tedesco – Laboratorio applicato di traduzione intermedio,Tedesco,,Groeger,,Online,Tutti gli indirizzi,,
S08,2026/2027,Secondo Anno,Martedì,09:00–12:00,Russo - Lingua 2,Russo,,Mikshina,,Online,Tutti gli indirizzi,,
S09,2026/2027,Secondo Anno,Martedì,10:00–12:00,Spagnolo – Laboratorio applicato di interpretazione intermedio,Spagnolo,,Semeghini,,In presenza,Tutti gli indirizzi,,
S10,2026/2027,Secondo Anno,Martedì,12:00–14:00,Spagnolo – Laboratorio applicato di traduzione intermedio,Spagnolo,,Magnanego,,In presenza,Tutti gli indirizzi,,inizio 15/09
S11,2026/2027,Secondo Anno,Mercoledì,09:30–12:30,Gestione e direzione di eventi,,,Bonafoni,,In presenza,"Fashion & Luxury Management; Management per turismo, arte e cultura; Marketing e comunicazione",,
S12,2026/2027,Secondo Anno,Mercoledì,09:30–12:30,Analisi del cybercrime & security,,,Biasiotti,,In presenza,Relazioni internazionali e diplomatiche; Criminologia e Cybersecurity,,
S13,2026/2027,Secondo Anno,Mercoledì,14:00–15:30,Arabo – Laboratorio applicato di interpretazione intermedio,Arabo,,Gadri,,Online,Tutti gli indirizzi,,
S14,2026/2027,Secondo Anno,Mercoledì,13:00–15:00,Cinese - Laboratorio applicato di traduzione intermedio,Cinese,,Macchi,,Online,Tutti gli indirizzi,,
S15,2026/2027,Secondo Anno,Mercoledì,15:30–18:00,Spagnolo - Lingua 2,Spagnolo,,Acero,,In presenza,Tutti gli indirizzi,,
